File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\BTGGradeSubmissionSystem\src\btg\common\GlobalConstants.java,85,13,12,0,22,0,50,145,5,25
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\BTGGradeSubmissionSystem\src\btg\controller\AccountController.java,382,213,190,14,92,13,77,722,13,79
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\BTGGradeSubmissionSystem\src\btg\controller\BestStudentController.java,134,70,59,6,24,0,40,137,5,20
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\BTGGradeSubmissionSystem\src\btg\controller\CourseController.java,284,158,139,11,66,9,60,520,13,76
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\BTGGradeSubmissionSystem\src\btg\controller\GradeController.java,194,120,104,8,27,0,47,409,9,55
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\BTGGradeSubmissionSystem\src\btg\controller\IndexController.java,18,11,8,1,7,0,0,0,0,0
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\BTGGradeSubmissionSystem\src\btg\controller\StrandController.java,111,75,63,6,25,0,11,61,6,23
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\BTGGradeSubmissionSystem\src\btg\dao\AccountDao.java,233,101,78,5,79,13,53,380,9,49
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\BTGGradeSubmissionSystem\src\btg\dao\BestStudentDao.java,42,23,17,2,14,0,5,20,5,20
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\BTGGradeSubmissionSystem\src\btg\dao\CourseDao.java,174,73,61,3,59,11,42,329,9,61
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\BTGGradeSubmissionSystem\src\btg\dao\GradeDao.java,111,57,45,3,26,1,28,164,7,34
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\BTGGradeSubmissionSystem\src\btg\dao\StrandDao.java,64,32,28,1,19,0,13,68,6,23
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\BTGGradeSubmissionSystem\src\btg\dto\AccountDto.java,184,130,93,18,46,0,8,47,6,35
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\BTGGradeSubmissionSystem\src\btg\dto\BaseDto.java,57,18,13,1,9,0,30,111,5,32
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\BTGGradeSubmissionSystem\src\btg\dto\BestStudentDto.java,93,81,58,11,7,0,5,20,5,20
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\BTGGradeSubmissionSystem\src\btg\dto\CourseDto.java,88,74,53,10,7,0,7,35,6,33
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\BTGGradeSubmissionSystem\src\btg\dto\GradeDto.java,65,53,38,7,7,0,5,19,5,19
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\BTGGradeSubmissionSystem\src\btg\dto\StrandDto.java,48,39,28,5,4,0,5,18,5,18
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\BTGGradeSubmissionSystem\src\btg\dto\StudentGradeDto.java,57,52,37,7,5,0,0,0,0,0
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\BTGGradeSubmissionSystem\src\btg\meta\AccountModelMeta.java,311,248,200,26,38,0,25,58,0,0
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\BTGGradeSubmissionSystem\src\btg\meta\BestStudentModelMeta.java,238,189,146,21,31,0,18,44,0,0
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\BTGGradeSubmissionSystem\src\btg\meta\CourseModelMeta.java,223,176,136,18,30,0,17,42,0,0
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\BTGGradeSubmissionSystem\src\btg\meta\GradeModelMeta.java,193,151,113,16,28,0,14,36,0,0
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\BTGGradeSubmissionSystem\src\btg\meta\StrandModelMeta.java,174,137,99,16,25,0,12,32,0,0
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\BTGGradeSubmissionSystem\src\btg\model\AccountModel.java,256,172,121,31,54,0,30,91,6,31
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\BTGGradeSubmissionSystem\src\btg\model\BestStudentModel.java,191,126,88,25,38,0,27,68,5,20
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\BTGGradeSubmissionSystem\src\btg\model\CourseModel.java,167,119,83,24,20,0,28,71,5,21
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\BTGGradeSubmissionSystem\src\btg\model\GradeModel.java,158,98,68,21,33,0,27,67,5,19
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\BTGGradeSubmissionSystem\src\btg\model\StrandModel.java,140,84,58,19,29,0,27,66,5,18
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\BTGGradeSubmissionSystem\src\btg\service\AccountService.java,473,317,287,17,89,18,67,737,9,59
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\BTGGradeSubmissionSystem\src\btg\service\BestStudentService.java,82,62,55,4,12,0,8,22,5,20
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\BTGGradeSubmissionSystem\src\btg\service\CourseService.java,259,160,141,10,59,9,40,403,9,53
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\BTGGradeSubmissionSystem\src\btg\service\GradeService.java,148,102,89,7,23,0,23,118,7,32
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\BTGGradeSubmissionSystem\src\btg\service\StrandService.java,64,41,35,2,12,0,11,52,6,23
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\BTGGradeSubmissionSystem\test\budget\model\AccountModelTest.java,19,13,10,0,6,0,0,0,0,0
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\BTGGradeSubmissionSystem\test\budget\model\BestStudentModelTest.java,19,13,10,0,6,0,0,0,0,0
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\BTGGradeSubmissionSystem\test\budget\model\CourseModelTest.java,19,13,10,0,6,0,0,0,0,0
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\BTGGradeSubmissionSystem\test\budget\model\GradeModelTest.java,19,13,10,0,6,0,0,0,0,0
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\BTGGradeSubmissionSystem\test\budget\model\StrandModelTest.java,19,13,10,0,6,0,0,0,0,0
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\src\btg\common\GlobalConstants.java,85,13,12,0,22,0,50,145,5,25
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\src\btg\controller\AccountController.java,316,195,172,14,48,0,73,555,13,67
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\src\btg\controller\BestStudentController.java,134,70,59,6,24,0,40,137,5,20
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\src\btg\controller\CourseController.java,255,158,139,11,38,0,59,424,12,63
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\src\btg\controller\GradeController.java,194,120,104,8,27,0,47,409,9,55
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\src\btg\controller\IndexController.java,18,11,8,1,7,0,0,0,0,0
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\src\btg\controller\StrandController.java,111,75,63,6,25,0,11,61,6,23
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\src\btg\dao\AccountDao.java,176,78,55,5,45,0,53,291,9,49
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\src\btg\dao\BestStudentDao.java,42,23,17,2,14,0,5,20,5,20
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\src\btg\dao\CourseDao.java,136,59,47,3,36,0,41,237,8,48
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\src\btg\dao\GradeDao.java,111,57,45,3,26,1,28,164,7,34
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\src\btg\dao\StrandDao.java,64,32,28,1,19,0,13,68,6,23
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\src\btg\dto\AccountDto.java,184,130,93,18,46,0,8,47,6,35
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\src\btg\dto\BaseDto.java,57,18,13,1,9,0,30,111,5,32
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\src\btg\dto\BestStudentDto.java,93,81,58,11,7,0,5,20,5,20
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\src\btg\dto\CourseDto.java,88,74,53,10,7,0,7,35,6,33
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\src\btg\dto\GradeDto.java,65,53,38,7,7,0,5,19,5,19
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\src\btg\dto\StrandDto.java,48,39,28,5,4,0,5,18,5,18
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\src\btg\dto\StudentGradeDto.java,57,52,37,7,5,0,0,0,0,0
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\src\btg\meta\AccountModelMeta.java,310,248,200,26,37,0,25,58,0,0
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\src\btg\meta\BestStudentModelMeta.java,237,189,146,21,30,0,18,44,0,0
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\src\btg\meta\CourseModelMeta.java,222,176,136,18,29,0,17,42,0,0
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\src\btg\meta\GradeModelMeta.java,191,151,113,16,26,0,14,36,0,0
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\src\btg\meta\StrandModelMeta.java,173,137,99,16,24,0,12,32,0,0
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\src\btg\model\AccountModel.java,256,172,121,31,54,0,30,91,6,31
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\src\btg\model\BestStudentModel.java,191,126,88,25,38,0,27,68,5,20
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\src\btg\model\CourseModel.java,167,119,83,24,20,0,28,71,5,21
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\src\btg\model\GradeModel.java,158,98,68,21,33,0,27,67,5,19
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\src\btg\model\StrandModel.java,140,84,58,19,29,0,27,66,5,18
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\src\btg\service\AccountService.java,429,301,271,17,64,0,64,445,8,46
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\src\btg\service\BestStudentService.java,82,62,55,4,12,0,8,22,5,20
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\src\btg\service\CourseService.java,210,137,118,10,33,0,40,297,8,40
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\src\btg\service\GradeService.java,148,102,89,7,23,0,23,118,7,32
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\src\btg\service\StrandService.java,64,41,35,2,12,0,11,52,6,23
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\test\budget\model\AccountModelTest.java,19,13,10,0,6,0,0,0,0,0
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\test\budget\model\BestStudentModelTest.java,19,13,10,0,6,0,0,0,0,0
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\test\budget\model\CourseModelTest.java,19,13,10,0,6,0,0,0,0,0
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\test\budget\model\GradeModelTest.java,19,13,10,0,6,0,0,0,0,0
C:\Users\davebaclayon\Desktop\SoftEng Updates\BTG Project\BTGGradeSubmissionSystem\test\budget\model\StrandModelTest.java,19,13,10,0,6,0,0,0,0,0
